realSum,room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,city,period
2.3303176018030176,Private room,2.0,True,0,0,10.0,95,1,7.0,0.0,amsterdam,weekdays
3.1923418095474694,Entire home/apt,4.0,True,0,0,9.0,100,2,1.0,1.0,amsterdam,weekdays
2.5011446208663415,Private room,2.0,True,0,0,10.0,100,1,3.5,1.5,amsterdam,weekdays
2.5046611945891786,Entire home/apt,2.0,True,0,0,10.0,95,1,3.5,0.5,amsterdam,weekdays
3.0189868884129374,Entire home/apt,2.0,False,0,0,10.0,100,1,3.0,1.5,amsterdam,weekdays
2.492717747133154,Entire home/apt,2.0,False,0,0,9.0,95,1,3.5,2.5,amsterdam,weekdays
2.469872554376581,Entire home/apt,2.0,False,0,0,9.0,90,1,4.5,3.0,amsterdam,weekdays
2.536868620058975,Entire home/apt,2.0,False,0,0,7.0,80,0,4.0,0.0,amsterdam,weekdays
3.4778364665362305,Entire home/apt,4.0,False,0,0,9.0,95,4,1.5,1.5,amsterdam,weekdays
2.731763442937362,Entire home/apt,2.0,False,0,0,10.0,100,1,4.0,1.0,amsterdam,weekdays
2.6636511841880552,Private room,2.0,True,0,0,10.0,100,1,0.5,0.5,amsterdam,weekdays
3.1387807664555,Entire home/apt,4.0,True,0,1,10.0,95,2,2.0,1.5,amsterdam,weekdays
2.618555559869636,Entire home/apt,4.0,True,1,0,10.0,100,1,5.0,1.5,amsterdam,weekdays
2.332689505469961,Private room,2.0,True,0,0,10.0,95,1,3.5,2.5,amsterdam,weekdays
2.5948975204067675,Private room,2.0,True,0,0,10.0,95,1,1.5,0.0,amsterdam,weekdays
2.365920478753994,Private room,2.0,False,0,0,10.0,95,0,3.5,1.5,amsterdam,weekdays
2.888886862917063,Entire home/apt,2.0,True,0,0,10.0,100,1,2.0,0.5,amsterdam,weekdays
2.4639684201092797,Private room,2.0,False,0,0,9.0,90,1,0.5,0.5,amsterdam,weekdays
2.7814665302319486,Entire home/apt,4.0,True,1,0,10.0,95,1,2.0,0.5,amsterdam,weekdays
2.669354122969206,Entire home/apt,2.0,False,0,0,10.0,95,1,1.5,1.5,amsterdam,weekdays
2.871864039095866,Entire home/apt,2.0,False,0,0,10.0,90,0,2.5,2.0,amsterdam,weekdays
2.3992306019539282,Private room,2.0,True,1,0,10.0,95,1,2.0,1.5,amsterdam,weekdays
2.7357090396712733,Private room,4.0,True,1,0,10.0,95,2,2.0,2.0,amsterdam,weekdays
2.627525399137903,Entire home/apt,2.0,False,0,0,10.0,95,1,3.5,0.5,amsterdam,weekdays
2.8296914666569264,Entire home/apt,2.0,True,0,0,10.0,95,1,1.0,0.5,amsterdam,weekdays
2.9587904670087335,Entire home/apt,4.0,True,1,0,10.0,100,2,2.5,0.5,amsterdam,weekdays
2.421770740314825,Private room,2.0,True,0,0,10.0,100,1,3.0,1.0,amsterdam,weekdays
2.293608785097419,Private room,2.0,True,1,0,10.0,95,1,10.5,0.5,amsterdam,weekdays
2.845372739307999,Entire home/apt,4.0,True,0,0,9.0,95,2,5.0,1.0,amsterdam,weekdays
2.4874495159588026,Private room,2.0,True,0,0,10.0,100,1,4.0,2.5,amsterdam,weekdays
2.7228007359788062,Private room,4.0,False,1,0,10.0,95,1,4.5,0.0,amsterdam,weekdays
2.8296914666569264,Entire home/apt,2.0,False,0,0,10.0,95,1,3.5,2.0,amsterdam,weekdays
2.8296914666569264,Entire home/apt,4.0,True,0,0,10.0,100,1,2.0,0.5,amsterdam,weekdays
2.7124668668220666,Entire home/apt,3.0,False,0,0,9.0,95,1,3.0,2.5,amsterdam,weekdays
2.646078782190552,Entire home/apt,2.0,False,0,0,10.0,100,1,1.5,0.0,amsterdam,weekdays
2.775363931245095,Entire home/apt,4.0,False,0,0,10.0,100,3,2.0,0.5,amsterdam,weekdays
2.9640183033836305,Entire home/apt,4.0,True,0,0,10.0,100,3,1.0,1.0,amsterdam,weekdays
2.8567021795456617,Entire home/apt,2.0,False,0,0,10.0,100,1,3.0,0.5,amsterdam,weekdays
2.441728831574844,Private room,2.0,True,1,0,10.0,95,1,7.5,3.0,amsterdam,weekdays
2.9948504252835817,Entire home/apt,4.0,False,0,0,9.0,100,3,2.0,0.0,amsterdam,weekdays
2.432052633088431,Private room,2.0,True,1,0,10.0,100,1,2.5,0.5,amsterdam,weekdays
2.902346410363381,Entire home/apt,4.0,False,1,0,8.0,85,2,0.0,0.5,amsterdam,weekdays
3.560822481753963,Entire home/apt,4.0,False,0,0,10.0,95,3,0.5,0.0,amsterdam,weekdays
